"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3,J2";"TE_1-215307-2";2;"1-215307-2";;;
2;"J5";"M243082325F";1;"M24308_23-25F";;;
3;"Y1";"OSC_ECS-100AX-100";1;"ECS-100AX-100";;;
4;"IC4";"DIP1587W140P254L3632H381Q28N";1;"AS6C62256-55PCN";;;
5;"C4,C3,C1,C2";"CAPC1608X90N";4;"CL10A105KA8NNNC";;;
6;"IC6";"DIP1524W58P254L3696H558Q28N";1;"W65C51N6TPG-14";;;
7;"D3,D1,D4,D2";"DIOM5226X220N";4;"MBRA210LT3G";;;
8;"IC3,IC7";"DIP1524W38P254L5207H407Q40N";2;"W65C22S6TPG-14";;;
9;"R3";"RESAD700W45L350D185";1;"3-1623927-1";;;
10;"IC1";"DIP1524W56P254L5207H508Q40N";1;"W65C02S6TPG-14";;;
11;"U3,U6";"SOIC127P600X175-14N";2;"74HC00D-T";;;
12;"IC5";"DIP794W53P254L1930H508Q16N";1;"MAX232ECN";;;
13;"J6";"DX07S024JA1R1300";1;"DX07S024JA1R1300";;;
14;"Y2";"OSC_ECS-100AX-018";1;"ECS-100AX-018";;;
15;"R1,R4";"RESC0603X26N";2;"RC0201FR-071KL";;;
16;"C5";"CAPC1005X55N";1;"CL05A104KA5NNNC";;;
17;"J4";"TE_1-215307-4";1;"1-215307-4";;;
18;"S1";"SW_PTS636_SM43J_SMTR_LFS";1;"PTS636_SM43J_SMTR_LFS";;;
19;"C7";"CAPC1005X55N";1;"GCM1555C1H300JA16D";;;
20;"J1";"DIPS1524W50P254L3556H419Q28";1;"110-41-628-41-001000";;;
